 Usage: honggfuzz [options] -- path_to_command [args]
honggfuzz-0-exid0_1         | Options:
honggfuzz-0-exid0_1         | 	Per process RLIMIT_CORE in MiB (default: 0 [no cores are produced])
honggfuzz-0-exid0_1         |  --rlimit_stack VALUE
honggfuzz-0-exid0_1         | 	Per process RLIMIT_STACK in MiB (default: 0 [default limit])
honggfuzz-0-exid0_1         |  --report|-R VALUE
honggfuzz-0-exid0_1         | 	Write report to this file (default: '<workdir>/HONGGFUZZ.REPORT.TXT')
honggfuzz-0-exid0_1         |  --max_file_size|-F VALUE
honggfuzz-0-exid0_1         | 	Maximal size of files processed by the fuzzer in bytes (default: 134217728 = 128MB)
honggfuzz-0-exid0_1         |  --clear_env 
honggfuzz-0-exid0_1         | 	Clear all environment variables before executing the binary
honggfuzz-0-exid0_1         |  --env|-E VALUE
honggfuzz-0-exid0_1         | 	Pass this environment variable, can be used multiple times
honggfuzz-0-exid0_1         |  --save_all|-u 
honggfuzz-0-exid0_1         | 	Save all test-cases (not only the unique ones) by appending the current time-stamp to the filenames
honggfuzz-0-exid0_1         |  --save_smaller|-U 
honggfuzz-0-exid0_1         | 	Save smaller test-cases, renaming first filename with .orig suffix
honggfuzz-0-exid0_1         |  --tmout_sigvtalrm|-T 
honggfuzz-0-exid0_1         | 	Treat time-outs as crashes - use SIGVTALRM to kill timeouting processes (default: use SIGKILL)
honggfuzz-0-exid0_1         |  --sanitizers|-S 
honggfuzz-0-exid0_1         | 	** DEPRECATED ** Enable sanitizers settings (default: false)
honggfuzz-0-exid0_1         |  --sanitizers_del_report VALUE
honggfuzz-0-exid0_1         | 	Delete sanitizer report after use (default: false)
honggfuzz-0-exid0_1         |  --monitor_sigabrt VALUE
honggfuzz-0-exid0_1         | 	** DEPRECATED ** SIGABRT is always monitored
honggfuzz-0-exid0_1         |  --no_fb_timeout VALUE
honggfuzz-0-exid0_1         | 	Skip feedback if the process has timeouted (default: false)
honggfuzz-0-exid0_1         |  --exit_upon_crash 
honggfuzz-0-exid0_1         | 	Exit upon seeing the first crash (default: false)
honggfuzz-0-exid0_1         |  --socket_fuzzer 
honggfuzz-0-exid0_1         | 	Instrument external fuzzer via socket
honggfuzz-0-exid0_1         |  --netdriver 
honggfuzz-0-exid0_1         | 	Use netdriver (libhfnetdriver/). In most cases it will be autodetected through a binary signature
honggfuzz-0-exid0_1         |  --only_printable 
honggfuzz-0-exid0_1         | 	Only generate printable inputs
honggfuzz-0-exid0_1         |  --export_feedback 
honggfuzz-0-exid0_1         | 	Export the coverage feedback structure as ./hfuzz-feedback
honggfuzz-0-exid0_1         |  --const_feedback VALUE
honggfuzz-0-exid0_1         | 	Use constant integer/string values from fuzzed programs to mangle input files via a dynamic dictionary (default: true)
honggfuzz-0-exid0_1         |  --linux_symbols_bl VALUE
honggfuzz-0-exid0_1         | 	Symbols blocklist filter file (one entry per line)
honggfuzz-0-exid0_1         |  --linux_symbols_wl VALUE
honggfuzz-0-exid0_1         | 	Symbols allowlist filter file (one entry per line)
honggfuzz-0-exid0_1         |  --linux_symbols_al VALUE
honggfuzz-0-exid0_1         | 	Symbols allowlist filter file (one entry per line)
honggfuzz-0-exid0_1         |  --linux_addr_low_limit VALUE
honggfuzz-0-exid0_1         | 	Address limit (from si.si_addr) below which crashes are not reported, (default: 0)
honggfuzz-0-exid0_1         |  --linux_keep_aslr 
honggfuzz-0-exid0_1         | 	Don't disable ASLR randomization, might be useful with MSAN
honggfuzz-0-exid0_1         |  --linux_perf_ignore_above VALUE
honggfuzz-0-exid0_1         | 	Ignore perf events which report IPs above this address
honggfuzz-0-exid0_1         |  --linux_perf_instr 
honggfuzz-0-exid0_1         | 	Use PERF_COUNT_HW_INSTRUCTIONS perf
honggfuzz-0-exid0_1         |  --linux_perf_branch 
honggfuzz-0-exid0_1         | 	Use PERF_COUNT_HW_BRANCH_INSTRUCTIONS perf
honggfuzz-0-exid0_1         |  --linux_perf_bts_edge 
honggfuzz-0-exid0_1         | 	Use Intel BTS to count unique edges
honggfuzz-0-exid0_1         |  --linux_perf_ipt_block 
honggfuzz-0-exid0_1         | 	Use Intel Processor Trace to count unique blocks (requires libipt.so)
honggfuzz-0-exid0_1         |  --linux_perf_kernel_only 
honggfuzz-0-exid0_1         | 	Gather kernel-only coverage with Intel PT and with Intel BTS
honggfuzz-0-exid0_1         |  --linux_ns_net VALUE
honggfuzz-0-exid0_1         | 	Use Linux NET namespace isolation (yes/no/maybe [default:no])
honggfuzz-0-exid0_1         |  --linux_ns_pid 
honggfuzz-0-exid0_1         | 	Use Linux PID namespace isolation
honggfuzz-0-exid0_1         |  --linux_ns_ipc 
honggfuzz-0-exid0_1         | 	Use Linux IPC namespace isolation
honggfuzz-0-exid0_1         | 
honggfuzz-0-exid0_1         | Examples:
honggfuzz-0-exid0_1         |  Run the binary over a mutated file chosen from the directory. Disable fuzzing feedback (static mode):
honggfuzz-0-exid0_1         |   honggfuzz -i input_dir -x -- /usr/bin/djpeg ___FILE___
honggfuzz-0-exid0_1         |  As above, provide input over STDIN:
honggfuzz-0-exid0_1         |   honggfuzz -i input_dir -x -s -- /usr/bin/djpeg
honggfuzz-0-exid0_1         |  Use compile-time instrumentation (-fsanitize-coverage=trace-pc-guard,...):
honggfuzz-0-exid0_1         |   honggfuzz -i input_dir -- /usr/bin/djpeg ___FILE___
honggfuzz-0-exid0_1         |  Use persistent mode w/o instrumentation:
honggfuzz-0-exid0_1         |   honggfuzz -i input_dir -P -x -- /usr/bin/djpeg_persistent_mode
honggfuzz-0-exid0_1         |  Use persistent mode and compile-time (-fsanitize-coverage=trace-pc-guard,...) instrumentation:
honggfuzz-0-exid0_1         |   honggfuzz -i input_dir -P -- /usr/bin/djpeg_persistent_mode
honggfuzz-0-exid0_1         |  Run the binary with dynamically generate inputs, maximize total no. of instructions:
honggfuzz-0-exid0_1         |   honggfuzz --linux_perf_instr -- /usr/bin/djpeg ___FILE___
honggfuzz-0-exid0_1         |  As above, maximize total no. of branches:
honggfuzz-0-exid0_1         |   honggfuzz --linux_perf_branch -- /usr/bin/djpeg ___FILE___
honggfuzz-0-exid0_1         |  As above, maximize unique branches (edges) via Intel BTS:
honggfuzz-0-exid0_1         |   honggfuzz --linux_perf_bts_edge -- /usr/bin/djpeg ___FILE___
honggfuzz-0-exid0_1         |  As above, maximize unique code blocks via Intel Processor Trace (requires libipt.so):
honggfuzz-0-exid0_1         |   honggfuzz --linux_perf_ipt_block -- /usr/bin/djpeg ___FILE___

